,name,start_pos,end_pos,tag,score
734,three,61074,61079,CARDINAL,1
735,"professor,“could",61144,61160,NORP,1
736,Claude,61212,61218,PERSON,1
737,the University of Venus,61276,61299,ORG,1
738,Venus,61368,61373,LOC,1
739,the last ten years,61377,61395,DATE,1
740,Strong and Hawks,61544,61560,ORG,1
741,Hawks,61717,61722,ORG,1
742,Solar Guard,61870,61881,ORG,1
743,"Yes,”replied Hawks",62044,62062,WORK_OF_ART,1
744,third,62141,62146,ORDINAL,1
745,"Strong,“which",62169,62182,PERSON,1
746,two,62265,62268,CARDINAL,1
747,two,62487,62490,CARDINAL,1
748,Hawks,62578,62583,ORG,1
749,first,62776,62781,ORDINAL,1
750,Mike,62798,62802,PERSON,1
751,Walters,62849,62856,PERSON,1
752,Space Academy,62860,62873,ORG,1
753,Walters,62919,62926,PERSON,1
754,Newton,63008,63014,PERSON,1
755,a few more minutes,63054,63072,TIME,1
756,"difference,”he",63094,63108,PERSON,1
757,Venusport,63290,63299,LOC,1
758,Lieutenant Claude,63660,63677,PERSON,1
759,Hawks,63692,63697,ORG,1
760,Hawks,63811,63816,ORG,1
761,Hawks,63848,63853,ORG,1
762,Claude,63948,63954,PERSON,1
763,Hawks,64052,64057,ORG,1
764,Newton,64072,64078,PERSON,1
765,three,64098,64103,CARDINAL,1
766,third,64205,64210,ORDINAL,1
767,Venusport topsoil,64370,64387,FAC,1
768,Hawks,64419,64424,ORG,1
769,Newton,64541,64547,ORG,1
770,Venusport,64768,64777,LOC,1
771,Hawks,64884,64889,ORG,1
772,Newton,64900,64906,ORG,1
773,Luna,64938,64942,PERSON,1
774,a thousand miles,64956,64972,QUANTITY,1
775,Hawks,65073,65078,PERSON,1
776,Venusian,65100,65108,NORP,1
777,Hawks,65136,65141,ORG,1
778,second,65174,65180,ORDINAL,1
779,Claude,65238,65244,PERSON,1
780,Venusport,65296,65305,FAC,1
781,Two hours later,65368,65383,TIME,1
782,Venusport,65430,65439,GPE,1
783,Mike Hawks,65445,65455,PERSON,1
784,three,65485,65490,CARDINAL,1
785,Polaris,65505,65512,ORG,1
786,three,65613,65618,CARDINAL,1
787,Tom,65677,65680,PERSON,1
788,Wallace,65717,65724,PERSON,1
789,Simms,65729,65734,PERSON,1
790,every night,65762,65773,TIME,1
791,"sir,”Tom",65775,65783,ORG,1
792,Hawks,66045,66050,ORG,1
793,"quietly,“Wallace",66060,66076,PERSON,1
794,Simms,66081,66086,PERSON,1
795,Wallace,66207,66214,PERSON,1
796,Simms,66219,66224,PERSON,1
797,them!”said Hawks,66499,66515,ORG,1
798,solar beacon,66742,66754,ORG,1
799,second,66792,66798,ORDINAL,1
800,Gus Wallace,67019,67030,PERSON,1
801,Luther Simms,67035,67047,PERSON,1
802,Wallace,67200,67207,PERSON,1
803,Simms,67246,67251,PERSON,1
804,two,67270,67273,CARDINAL,1
805,Simms,67427,67432,PERSON,1
806,the Solar Guard,67571,67586,ORG,1
807,Wallace,67606,67613,PERSON,1
808,Simms,67726,67731,PERSON,1
809,that!”snapped Wallace,67831,67852,PERSON,1
810,Cadet Manning,68137,68150,PRODUCT,1
811,"Forget him,”said Simms",68155,68177,WORK_OF_ART,1
812,apart!”snarled Wallace,68382,68404,PERSON,1
813,Simms,68546,68551,PERSON,1
814,two,68598,68601,CARDINAL,1
815,an hour,68884,68891,TIME,1
816,two,68896,68899,CARDINAL,1
817,"is,”said Simms",68946,68960,PERSON,1
818,Solar Guard,69039,69050,ORG,1
819,"“O. K.,",69077,69084,PERSON,1
820,Wallace,69091,69098,PERSON,1
