,name,lemma,Type,Tag,Shape,Alpha,Stop
44071,such,such,ADJ,JJ,xxxx,True,True
44072,feverish,feverish,ADJ,JJ,xxxx,True,False
44073,excitement,excitement,NOUN,NN,xxxx,True,False
44074,as,as,SCONJ,IN,xx,True,True
44075,that,that,DET,DT,xxxx,True,True
44076,in,in,ADP,IN,xx,True,True
44077,which,which,DET,WDT,xxxx,True,True
44078,he,-PRON-,PRON,PRP,xx,True,True
44079,had,have,AUX,VBD,xxx,True,True
44080,spent,spend,VERB,VBN,xxxx,True,False
44081,the,the,DET,DT,xxx,True,True
44082,past,past,ADJ,JJ,xxxx,True,False
44083,week,week,NOUN,NN,xxxx,True,False
44084,.,.,PUNCT,.,.,False,False
44085,"","",SPACE,_SP,"",False,False
44086,So,so,ADV,RB,Xx,True,True
44087,real,real,ADV,RB,xxxx,True,False
44088,had,have,AUX,VBD,xxx,True,True
44089,the,the,DET,DT,xxx,True,True
44090,whole,whole,ADJ,JJ,xxxx,True,True
44091,business,business,NOUN,NN,xxxx,True,False
44092,become,become,VERB,VB,xxxx,True,True
44093,to,to,ADP,IN,xx,True,True
44094,him,-PRON-,PRON,PRP,xxx,True,True
44095,that,that,SCONJ,IN,xxxx,True,True
44096,",",",",PUNCT,",",",",False,False
44097,while,while,SCONJ,IN,xxxx,True,True
44098,he,-PRON-,PRON,PRP,xx,True,True
44099,smiled,smile,VERB,VBD,xxxx,True,False
44100,at,at,ADP,IN,xx,True,True
44101,his,-PRON-,DET,PRP$,xxx,True,True
44102,own,own,ADJ,JJ,xxx,True,True
44103,folly,folly,NOUN,NN,xxxx,True,False
44104,as,as,SCONJ,IN,xx,True,True
44105,he,-PRON-,PRON,PRP,xx,True,True
44106,took,take,VERB,VBD,xxxx,True,False
44107,up,up,ADP,RP,xx,True,True
44108,the,the,DET,DT,xxx,True,True
44109,Tuesday,Tuesday,PROPN,NNP,Xxxxx,True,False
44110,evening,evening,NOUN,NN,xxxx,True,False
44111,paper,paper,NOUN,NN,xxxx,True,False
44112,",",",",PUNCT,",",",",False,False
44113,he,-PRON-,PRON,PRP,xx,True,True
44114,actually,actually,ADV,RB,xxxx,True,False
44115,felt,feel,VERB,VBD,xxxx,True,False
44116,a,a,DET,DT,x,True,True
44117,pang,pang,NOUN,NN,xxxx,True,False
44118,of,of,ADP,IN,xx,True,True
44119,disappointment,disappointment,NOUN,NN,xxxx,True,False
44120,to,to,PART,TO,xx,True,True
44121,discover,discover,VERB,VB,xxxx,True,False
44122,that,that,SCONJ,IN,xxxx,True,True
44123,his,-PRON-,DET,PRP$,xxx,True,True
44124,imaginary,imaginary,ADJ,JJ,xxxx,True,False
44125,operations,operation,NOUN,NNS,xxxx,True,False
44126,had,have,AUX,VBD,xxx,True,True
44127,produced,produce,VERB,VBN,xxxx,True,False
44128,no,no,DET,DT,xx,True,True
44129,effect,effect,NOUN,NN,xxxx,True,False
